# DVT Execution Times — Full Integration Test Matrix
# Date: 2026-03-01
# Project: trial_18_all_commands/Coke_DB (merged with trial_17 cloud models)
# Total models: 67 | Seeds: 11 (9 small + 2 large 1M-row benchmark) | Tests: 25 | Snapshots: 1
# Targets: pg_docker, mysql_docker, mssql_docker, oracle_docker, mariadb_docker, pg_dev, dbx_dev, disf_dev
# NOTE: sf_dev is READ ONLY — excluded from writes
# NOTE: transactions_b.csv (1M rows) and transactions_c.csv (1M rows) excluded from adapter seed
#       (adapter inserts row-by-row — would take hours). These are seeded via --spark only on pg_dev.
#
# Format: COMMAND | TARGET | RESULT | TIME
# ================================================================================

# PHASE 1: dvt seed (adapter) --full-refresh — 2026-03-01 23:34:10
#          dvt-core commit: 085642f2c | dvt-adapters commit: a46c878
# ================================================================================

# PHASE 15: dvt debug (all 9 targets) — 2026-03-02 11:20:42
dvt debug (all targets)                            | all 9            | pg/mysql/mssql/oracle/mariadb/pg_dev/sf/disf/dbx = OK    |    17s

# PHASE 16: dvt --version — 2026-03-02 11:22:15
dvt --version                                      | local            | 10 plugins detected (all correct versions)               |     5s

# PHASE 17: dvt seed (test_seed to Docker targets) — 2026-03-02 13:59-14:01
dvt seed --select test_seed                        | pg_docker        | PASS=1 INSERT 5                                         |     8s
dvt seed --select test_seed                        | mysql_docker     | PASS=1 INSERT 5                                         |    10s
dvt seed --select test_seed                        | mssql_docker     | PASS=1 INSERT 5                                         |     9s
dvt seed --select test_seed                        | oracle_docker    | PASS=1 INSERT 5                                         |    27s
dvt seed --select test_seed                        | mariadb_docker   | PASS=1 INSERT 5                                         |     9s

# PHASE 18: dvt run pushdown (each with native --target) — 2026-03-02 14:09
dvt run --select pushdown_pg                       | pg_docker        | PASS SELECT 4                                           |  0.38s
dvt run --select pushdown_mysql                    | mysql_docker     | PASS SUCCESS 4                                          |  0.30s
dvt run --select pushdown_mssql                    | mssql_docker     | PASS OK                                                 |  1.45s
dvt run --select pushdown_oracle                   | oracle_docker    | PASS OK                                                 |  3.47s
dvt run --select pushdown_mariadb                  | mariadb_docker   | PASS SUCCESS 4                                          |  1.08s
dvt run --select adapter_test_model+view+top       | pg_docker        | PASS=4 (3 table + 1 view)                               |  0.78s

# PHASE 19: dvt run federation (cross-engine via Spark JDBC) — 2026-03-02 14:23
dvt run --select mysql_to_pg                       | pg_docker        | PASS Federation: 4 rows via jdbc                        | 96.10s
# mysql_docker -> pg_docker: JDBC extract 5 rows, Spark SQL, JDBC load 4 rows

# PHASE 20: dvt test (data tests on pg_docker) — 2026-03-02 15:50
dvt test --select adapter_test_model+test_seed+top | pg_docker        | PASS=14 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=14          |     9s

# PHASE 21: Auxiliary commands — 2026-03-02 15:50
dvt compile                                        | pg_docker        | OK (warnings on MySQL cross-target schema)               |    13s
dvt list                                           | pg_docker        | OK (67 models, 28 sources, 25 tests, 11 seeds)          |     5s
dvt parse                                          | pg_docker        | OK (perf_info.json generated)                           |     6s
dvt clean                                          | pg_docker        | OK (target/ + dvt_packages/ + staging bucket cleaned)    |     2s

# PHASE 22: Unit tests — 2026-03-02 14:08
pytest tests/unit/ -q                              | local            | 2254 passed, 33 failed, 40 errors, 8 skipped            |   103s
# All failures pre-existing (dbt->dvt rename assertions)

# ================================================================================
# DATE: 2026-03-04 (full end-to-end verification — all 65 models, 9 engines)
# Context: Schema quoting fix (query_optimizer.py, dialect_fallbacks.py),
#          Databricks token refreshed, all pushdown+federation models verified.
#          dvt-core commit: 16163f530 (on dev, pushed to origin)
#          max_federation_threads: 1 (serialized — JVM resource limit)
# Engines: pg_docker, mysql_docker, mssql_docker, oracle_docker, mariadb_docker,
#          pg_dev, sf_dev (read), disf_dev (write), dbx_dev
# ================================================================================

# PHASE 23: dvt run --full-refresh (all 65 models) — 2026-03-04 16:20:41
dvt run --full-refresh                             | all 9 engines    | PASS=65 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=65          |   643s
# 19 pushdown + 48 federation models. Execution plan: 15 incremental, 41 table, 9 view.
# Breakdown: DROP+CREATE all tables/views, full JDBC extract+load for federation.

# PHASE 24: dvt run (incremental, no full-refresh) — 2026-03-04 17:22:35
dvt run                                            | all 9 engines    | PASS=65 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=65          |   614s
# Same 65 models. Incremental models use TRUNCATE+INSERT (default DDL contract).
# Federation models skip staging extraction when Delta staging already exists.
